Target Word,AI Prediction_Cosine,Hybrid Prediction_Cosine,Rule-Based Prediction,AI Prediction_Euclidean,Hybrid Prediction_Euclidean,Entropy Prediction,Steps
KADAR,KUNDA,KUNDA,KUNDA,KUNDA,KUNDA,KUNDA,1
KADAR,KADAR,KADAR,KADİR,KADAR,KADAR,KADER,1
KADAR,KADAR,KADAR,KADER,KADAR,KADAR,KADAR,2
KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,3
KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,4
KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,KADAR,5
DEĞİL,KALMA,KALMA,KALMA,KALMA,KALMA,KALMA,1
DEĞİL,LENLL,NESİL,İLGEÇ,LENLL,DENLİ,TERLİ,1
DEĞİL,TERİL,TECİL,DEBİL,DEĞİL,DEĞİL,SEBİL,2
DEĞİL,DERİL,DEBİL,DEĞİL,DEĞİL,DEĞİL,YEŞİL,3
DEĞİL,DEĞİL,DEĞİL,DEĞİL,DEĞİL,DEĞİL,CEHİL,4
DEĞİL,DEĞİL,DEĞİL,DEĞİL,DEĞİL,DEĞİL,DEĞİL,5
ÜZERİ,TAÇLI,TAÇLI,TAÇLI,TAÇLI,TAÇLI,TAÇLI,1
ÜZERİ,KERİE,ERİME,MİNÖR,KERİE,FERİK,KERİM,1
ÜZERİ,SERİR,SİPER,ERCİŞ,İİİEE,İRİCE,CİBRE,2
ÜZERİ,KERİİ,BEKRİ,YERGİ,DİNER,BİNER,ÖNERİ,3
ÜZERİ,İZERİ,ÜZERİ,ÜZERİ,EZERİ,ESPRİ,ÜZERİ,4
ÜZERİ,ÜZERİ,ÜZERİ,ÜZERİ,İÇERİ,ÜZERİ,ÜZERİ,5
DOĞRU,TAZİP,TAZİP,TAZİP,TAZİP,TAZİP,TAZİP,1
DOĞRU,KEREE,ŞEKER,UYRUK,KEREE,KEREM,SÜREK,1
DOĞRU,GORUU,OLURU,RUMEN,SÜSUR,UYGUR,HUMOR,2
DOĞRU,SOĞRU,DOĞRU,ORGCU,RUĞLU,DOĞRU,DOĞRU,3
DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,4
DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,DOĞRU,5
KENDİ,RÖLİK,RÖLİK,RÖLİK,RÖLİK,RÖLİK,RÖLİK,1
KENDİ,KİKAİ,NİKAH,DİKME,KİKAİ,NİKAH,SİKME,1
KENDİ,KENKİ,KENDİ,KENDİ,KENKİ,KENDİ,TEPKİ,2
KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,3
KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,4
KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,KENDİ,5
ÇALIŞ,BAZEN,BAZEN,BAZEN,BAZEN,BAZEN,BAZEN,1
ÇALIŞ,KARAA,LAGAR,KAÇIK,KARAA,KARAF,KATAR,1
ÇALIŞ,KALİI,ÇAKIL,ÇADIR,SALİI,SALGI,HASIL,2
ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇATIŞ,YALIM,YALIM,ÇALIM,3
ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,4
ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,ÇALIŞ,5
NEDEN,KAHİN,KAHİN,KAHİN,KAHİN,KAHİN,KAHİN,1
NEDEN,BEREN,BELEN,GÜVEN,BEREN,BELEN,SEZON,1
NEDEN,GEMEN,MESEN,RESEN,GEMEN,GEÇEN,ÇELEN,2
NEDEN,GEREN,GEREN,BELEN,SEMEN,SEMEN,GEREN,3
NEDEN,ÇEÇEN,ÇEÇEN,ÇETEN,GEREN,PEREN,BEDEN,4
NEDEN,GEZEN,NEDEN,NEDEN,GEZEN,NEDEN,NEDEN,5
BAŞKA,AGORA,AGORA,AGORA,AGORA,AGORA,AGORA,1
BAŞKA,SALMA,SALMA,ÇAĞMA,SALMA,SALMA,KAYMA,1
BAŞKA,TANTA,ÇANTA,BAŞTA,TANTA,ÇANTA,TAKLA,2
BAŞKA,HAYİA,BAŞKA,BAŞKA,HAYİA,HAYFA,BANKA,3
BAŞKA,BAŞKA,BAŞKA,BAŞKA,HAKİA,VAKIA,BAŞKA,4
BAŞKA,BAŞKA,BAŞKA,BAŞKA,KAVKA,KABZA,BAŞKA,5
GEREK,PANEL,PANEL,PANEL,PANEL,PANEL,PANEL,1
GEREK,KEREK,ERKEK,SİBER,KEREK,KÜREK,TEREK,1
GEREK,SEREK,MEREK,GÖREV,SEREK,MEREK,GEREK,2
GEREK,SEREK,GEREK,GÜREŞ,SEREK,GEREK,GEREK,3
GEREK,GEREK,GEREK,GEREK,GEREK,GEREK,GEREK,4
GEREK,GEREK,GEREK,GEREK,GEREK,GEREK,GEREK,5
BÜTÜN,KEYFİ,KEYFİ,KEYFİ,KEYFİ,KEYFİ,KEYFİ,1
BÜTÜN,SARAA,ARAMA,BULMA,SARAA,SARMA,TARLA,1
BÜTÜN,SÜLUÜ,SÜLÜN,BÖĞÜR,GÜLUÜ,GÜLLÜ,SÜTUN,2
BÜTÜN,GÜZÜN,GÜZÜN,BÜTÜN,GÜZÜN,HÜZÜN,BÜTÜN,3
BÜTÜN,BÜTÜN,BÜTÜN,BÜTÜN,GÜĞÜN,TÜTÜN,BÜTÜN,4
BÜTÜN,BÜTÜN,BÜTÜN,BÜTÜN,BÜTÜN,BÜTÜN,BÜTÜN,5
DÜNYA,BANMA,BANMA,BANMA,BANMA,BANMA,BANMA,1
DÜNYA,KONYA,KONYA,SONDA,KONYA,KONYA,CONTA,1
DÜNYA,FUNYA,TENYA,DÜNYA,FUNYA,TENYA,FUNDA,2
DÜNYA,FUNYA,DÜNYA,DÜNYA,FUNYA,DÜNYA,DÜNYA,3
DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,4
DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,DÜNYA,5
DÜŞÜN,LİNİN,LİNİN,LİNİN,LİNİN,LİNİN,LİNİN,1
DÜŞÜN,KARAN,AKRAN,KEBAN,KARAN,KABAN,ERKAN,1
DÜŞÜN,SETEN,ÇETEN,SOMON,SEREN,SEREN,SÜTUN,2
DÜŞÜN,BÜĞÜN,DÜĞÜN,GÜCÜN,BÜĞÜN,DÜĞÜN,GÜZÜN,3
DÜŞÜN,DÜĞÜN,DÜŞÜN,DÜĞÜN,DÜĞÜN,DÜŞÜN,DÜĞÜN,4
DÜŞÜN,DÜŞÜN,DÜŞÜN,DÜŞÜN,DÜŞÜN,DÜŞÜN,DÜŞÜN,5
DURUM,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,1
DURUM,MERME,KEREM,ÜĞRÜM,MERME,YERME,SERİM,1
DURUM,SİRUM,DURUM,CİRİM,MURUM,KURUM,DÜRÜM,2
DURUM,DURUM,DURUM,VEREM,SURUM,DURUM,DURUM,3
DURUM,DURUM,DURUM,DURUM,DURUM,DURUM,DURUM,4
DURUM,DURUM,DURUM,DURUM,DURUM,DURUM,DURUM,5
DEĞİŞ,TULUK,TULUK,TULUK,TULUK,TULUK,TULUK,1
DEĞİŞ,SARAE,SAFER,BAHÇE,SARAE,SARAY,SERİN,1
DEĞİŞ,DENİE,ÇİZME,YENGİ,GENİE,GENİZ,DEVİM,2
DEĞİŞ,EENİİ,EBEDİ,REJİM,GEZİM,VEHİM,DEĞİŞ,3
DEĞİŞ,DEDİN,DEĞİN,SEZİŞ,GEDİŞ,BEDİİ,DEĞİŞ,4
DEĞİŞ,DEĞİŞ,DEĞİŞ,DEĞİŞ,DEĞİŞ,DEĞİŞ,DEĞİŞ,5
TARAF,AHLAK,AHLAK,AHLAK,AHLAK,AHLAK,AHLAK,1
TARAF,SARAN,NAÇAR,PAZAR,SARAN,BARAN,YARAN,1
TARAF,MARAT,TARAŞ,DARAÇ,MARAT,SARAT,FARAŞ,2
TARAF,TARAZ,TARAZ,FARAŞ,TARAZ,TARAZ,PARAF,3
TARAF,TARAF,TARAF,TARAF,TARAZ,TARAF,TARAF,4
TARAF,TARAF,TARAF,TARAF,TARAF,TARAF,TARAF,5
ÇÜNKÜ,NAKIS,NAKIS,NAKIS,NAKIS,NAKIS,NAKIS,1
ÇÜNKÜ,KENEK,ÇENEK,TÜNEK,KENEK,ÇENEK,TONİK,1
ÇÜNKÜ,ÇİNKİ,ÇİNKO,KÜNCÜ,ÇİNKİ,ÇİNKO,KÜNDE,2
ÇÜNKÜ,ÇÖNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÖNKÜ,ÇÜNKÜ,ÇÜNKÜ,3
ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,4
ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,ÇÜNKÜ,5
NASIL,TEŞCİ,TEŞCİ,TEŞCİ,TEŞCİ,TEŞCİ,TEŞCİ,1
NASIL,KARAA,ARAKA,DOLAP,KARAA,KURAL,SARAK,1
NASIL,SALAI,ISLAH,HAKLI,AASIL,HASIL,NASIL,2
NASIL,SASLI,YASLI,LAFIZ,NASIL,NASIL,NASIL,3
NASIL,NASIL,NASIL,BAĞIL,NASIL,NASIL,NASIL,4
NASIL,NASIL,NASIL,NASIL,NASIL,NASIL,NASIL,5
FAZLA,AÇGÖZ,AÇGÖZ,AÇGÖZ,AÇGÖZ,AÇGÖZ,AÇGÖZ,1
FAZLA,ZAZAA,ZAMLI,NAZİL,ZAZAA,PAZAR,NAZAR,1
FAZLA,TAZLA,FAZLA,LAZER,KAZMA,KAZMA,FAZLA,2
FAZLA,FAZLA,FAZLA,SAZLI,HAZCA,LAZCA,FAZLA,3
FAZLA,FAZLA,FAZLA,FAZLA,GAZLA,FAZLA,FAZLA,4
FAZLA,FAZLA,FAZLA,FAZLA,FAZLA,FAZLA,FAZLA,5
İNSAN,AHUNT,AHUNT,AHUNT,AHUNT,AHUNT,AHUNT,1
İNSAN,KANAN,BANKO,MEKAN,KANAN,KANON,KAYAN,1
İNSAN,EİLAN,LİMAN,YALAN,ENSAN,İNSAN,VİRAN,2
İNSAN,İHSAN,İNSAN,İRFAN,İNSAN,İNSAN,İDMAN,3
İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,4
İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,İNSAN,5
BUGÜN,MELEZ,MELEZ,MELEZ,MELEZ,MELEZ,MELEZ,1
BUGÜN,KARAA,ARAKA,AKTÖR,KARAA,KARAY,TARİK,1
BUGÜN,SİNİN,DİNCİ,SUNGU,SİNİN,SİNİŞ,SONUÇ,2
BUGÜN,SÜSUN,ÜSTÜN,BUGÜN,ÖÜGÜN,BUGÜN,BUGÜN,3
BUGÜN,GÖGÜN,BUGÜN,BUGÜN,BUĞÜN,BUGÜN,BUGÜN,4
BUGÜN,BUĞÜN,BUGÜN,BUGÜN,BUĞON,BUGÜN,BUGÜN,5
SAHİP,ORTOZ,ORTOZ,ORTOZ,ORTOZ,ORTOZ,ORTOZ,1
SAHİP,KALAK,KALAK,KUDAS,KALAK,KALAK,MALİK,1
SAHİP,SANII,HANCI,YASİN,SANII,SANCI,NAHİF,2
SAHİP,SAHİE,SAHİH,SAHİL,SAHİE,SAHİH,SAHİH,3
SAHİP,SAHİH,SAHİP,SAHİP,SAHİH,SAHİP,SAHİP,4
SAHİP,SAHİP,SAHİP,SAHİP,SAHİP,SAHİP,SAHİP,5
KONUŞ,YÜLGÜ,YÜLGÜ,YÜLGÜ,YÜLGÜ,YÜLGÜ,YÜLGÜ,1
KONUŞ,KARAA,ARAKA,PASÖR,KARAA,KARAF,TARİK,1
KONUŞ,KEKİK,KEKİK,BIKIŞ,KESİE,KESİT,KOŞUM,2
KONUŞ,KONIN,KIŞIN,KİNİŞ,KONUK,KONUK,KOĞUŞ,3
KONUŞ,KONUŞ,KONUŞ,KONUŞ,KONUŞ,KONUŞ,KOKUŞ,4
KONUŞ,KONUŞ,KONUŞ,KONUŞ,KONUŞ,KONUŞ,KONUŞ,5
ANCAK,LAVAŞ,LAVAŞ,LAVAŞ,LAVAŞ,LAVAŞ,LAVAŞ,1
ANCAK,AKMAK,AKMAK,ASMAK,AKMAK,AKMAK,AKRAN,1
ANCAK,ANRAK,ANCAK,ANZAK,ANRAK,ANCAK,ANCAK,2
ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,3
ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,4
ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,ANCAK,5
DEVAM,REFLÜ,REFLÜ,REFLÜ,REFLÜ,REFLÜ,REFLÜ,1
DEVAM,SENİE,SEBEN,HEYET,SENİE,CENİN,TEMİN,1
DEVAM,TEKİİ,TEŞYİ,MEVZİ,KEMEE,ÇEMÇE,SEZME,2
DEVAM,MEMAA,KEMAH,DEVAM,MESAA,MESAJ,DEVAM,3
DEVAM,MEVAM,DEVAM,DEVAM,MEKAM,DEVAM,DEVAM,4
DEVAM,DEVAM,DEVAM,DEVAM,DEVAM,DEVAM,DEVAM,5
KÜÇÜK,İHRAZ,İHRAZ,İHRAZ,İHRAZ,İHRAZ,İHRAZ,1
KÜÇÜK,KELEK,KELEK,DÜŞÇÜ,KELEK,KELEK,TÜLEK,1
KÜÇÜK,KINUK,KONUK,KÜÇÜK,KINUK,KONUK,GÜDÜK,2
KÜÇÜK,KISIK,KISIK,KÜÇÜK,KISIK,KISIK,BÜKÜK,3
KÜÇÜK,KÖÇÜK,KÖPÜK,KÜÇÜK,KÖÇÜK,KÖPÜK,KÜÇÜK,4
KÜÇÜK,KÜTÜK,KÜTÜK,KÜÇÜK,KÜTÜK,KÜTÜK,KÜÇÜK,5
ŞEKİL,GEVİŞ,GEVİŞ,GEVİŞ,GEVİŞ,GEVİŞ,GEVİŞ,1
ŞEKİL,ŞEŞİK,KEŞİK,MEŞİN,ŞEŞİK,KEŞİK,ŞERİK,1
ŞEKİL,ŞEKİR,ŞEKİL,ŞEDİT,ŞEKİR,ŞEKİL,ŞEKİL,2
ŞEKİL,ŞEKİL,ŞEKİL,ŞERİF,ŞEKİL,ŞEKİL,ŞEKİL,3
ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,4
ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,ŞEKİL,5
ÇOCUK,DİLCE,DİLCE,DİLCE,DİLCE,DİLCE,DİLCE,1
ÇOCUK,CACAA,ACIMA,GOCUK,CACAA,CANAN,MACUN,1
ÇOCUK,CÜCUK,VÜCUT,BOCUK,SICUK,SUCUK,BOCUK,2
ÇOCUK,SOCUK,SUCUK,ÇOCUK,BOCUK,BOCUK,ÇOCUK,3
ÇOCUK,BOCUK,BOCUK,ÇOCUK,BOCUK,ÇOCUK,ÇOCUK,4
ÇOCUK,BOCUK,GOCUK,ÇOCUK,ÇOCUK,ÇOCUK,ÇOCUK,5
ARTIK,NECAT,NECAT,NECAT,NECAT,NECAT,NECAT,1
ARTIK,TATIA,ÇATIŞ,TASIM,TATIA,BATIK,TARIM,1
ARTIK,ARTIK,ARTIK,ARTIŞ,ALTIK,ALTIK,ARTIK,2
ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,3
ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,4
ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,ARTIK,5
HEMEN,İĞLİK,İĞLİK,İĞLİK,İĞLİK,İĞLİK,İĞLİK,1
HEMEN,SARAA,ÇASAR,DÜÇAR,SARAA,SARAÇ,TERAS,1
HEMEN,GENEE,ENEZE,IZGIN,GENEE,GEYVE,DENME,2
HEMEN,GENEN,GEVEN,BOYUN,GEMEN,HEMEN,ÇEMEN,3
HEMEN,BEMEN,HEMEN,MESEN,HEMEN,HEMEN,HEMEN,4
HEMEN,HEMEN,HEMEN,HEMEN,HEMEN,HEMEN,HEMEN,5
YAKIN,MERİH,MERİH,MERİH,MERİH,MERİH,MERİH,1
YAKIN,KALAK,KALAK,ÖTÜCÜ,KALAK,KALAK,KALIN,1
YAKIN,YAKII,YAKIŞ,PANÇO,YAKII,YAKIŞ,ÇAKIN,2
YAKIN,YAKIŞ,YAKIT,BASIN,YAKIŞ,YAKIT,SAKIN,3
YAKIN,YAKIN,YAKIN,KADIN,YAKIN,YAKIN,YAKIN,4
YAKIN,YAKIN,YAKIN,YAKIN,YAKIN,YAKIN,YAKIN,5
İÇERİ,LİMBO,LİMBO,LİMBO,LİMBO,LİMBO,LİMBO,1
İÇERİ,İERİİ,İKRAZ,SESÇİ,İERİİ,İÇSİZ,TEKİR,1
İÇERİ,İREER,İNCİR,İÇERİ,İÇEĞİ,İÇERİ,İDARE,2
İÇERİ,İRERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,3
İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,4
İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,İÇERİ,5
BELLİ,TUTUŞ,TUTUŞ,TUTUŞ,TUTUŞ,TUTUŞ,TUTUŞ,1
BELLİ,KARAK,ÇAPAK,LİVAR,KARAK,KAPAK,KELAM,1
BELLİ,SEREE,SERME,İMLEK,SEREE,SERME,BELGE,2
BELLİ,BELİİ,BEDİİ,SELİS,BELİİ,BEDİİ,BELİĞ,3
BELLİ,BELLİ,BELLİ,DELGİ,BELLİ,BELLİ,BELLİ,4
BELLİ,BELLİ,BELLİ,YELLİ,BELLİ,BELLİ,BELLİ,5
TOPLA,KÜTÖR,KÜTÖR,KÜTÖR,KÜTÖR,KÜTÖR,KÜTÖR,1
TOPLA,TALAT,GALAT,MABUT,TALAT,GALAT,TALİM,1
TOPLA,TTALA,PLATO,TOLGA,TTALA,TUZLA,TONLA,2
TOPLA,TOPLA,TOPLA,TOPLA,TONLA,TONLA,TOPLA,3
TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,4
TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,TOPLA,5
ÇEVRE,VOLTA,VOLTA,VOLTA,VOLTA,VOLTA,VOLTA,1
ÇEVRE,SEVEE,EHVEN,ÇEVRİ,SEVEE,SEVME,DEVRE,1
ÇEVRE,SEVME,SEVME,ÇEVRE,KEVRE,DEVRE,ÇEVRE,2
ÇEVRE,KEVRE,DEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,3
ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,4
ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,ÇEVRE,5
KAZAN,KUMAN,KUMAN,KUMAN,KUMAN,KUMAN,KUMAN,1
KAZAN,KARAN,KAŞAN,KAYAN,KARAN,KAŞAN,KAZAN,1
KAZAN,KALAN,KALAN,KAĞAN,KALAN,KALAN,KAZAN,2
KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,3
KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,4
KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,KAZAN,5
BÖYLE,İŞTAH,İŞTAH,İŞTAH,İŞTAH,İŞTAH,İŞTAH,1
BÖYLE,KEREE,ZEKER,DÜVEN,KEREE,KERES,SÜREK,1
BÖYLE,GÜNME,GÜNDE,MEMUL,GÜNME,GÜNDE,DELME,2
BÖYLE,SÖLME,MÖBLE,BÖLGE,GÖLME,BÖLME,BÖYLE,3
BÖYLE,BÖLLE,BÖYLE,BÖYLE,BÖĞLE,BÖYLE,BÖYLE,4
BÖYLE,BÖYLE,BÖYLE,BÖYLE,BÖYLE,BÖYLE,BÖYLE,5
TARİH,DİZİM,DİZİM,DİZİM,DİZİM,DİZİM,DİZİM,1
TARİH,KERİK,ŞERİK,ORCİK,KERİK,ŞERİK,TEKİR,1
TARİH,TARİT,TARİF,ŞERİT,TARİT,TARİF,TARİF,2
TARİH,TARİF,TARİH,TARİH,TARİF,TARİH,TARİH,3
TARİH,TARİH,TARİH,TARİH,TARİH,TARİH,TARİH,4
TARİH,TARİH,TARİH,TARİH,TARİH,TARİH,TARİH,5
KADIN,HACET,HACET,HACET,HACET,HACET,HACET,1
KADIN,KARAA,VARAN,YAŞÇA,KARAA,KARAF,KALAN,1
KADIN,KALIN,KALIN,NAMUS,KALII,KALIŞ,KANUN,2
KADIN,KAYIN,KAYIN,KANON,KASIK,KASIK,KADIN,3
KADIN,KAYIN,KADIN,KARIN,KANIN,KADIN,KADIN,4
KADIN,KADIN,KADIN,KALIN,KADIN,KADIN,KADIN,5
HAYAT,TEALİ,TEALİ,TEALİ,TEALİ,TEALİ,TEALİ,1
HAYAT,AATAT,ASTAT,SANAT,AATAT,ASTAT,KATAR,1
HAYAT,KARAT,FAKAT,DAMAT,KARAT,KAVAT,MASAT,2
HAYAT,BARAT,BAŞAT,HAYAT,BARAT,BAŞAT,BAŞAT,3
HAYAT,MAMAT,ÇAMAT,HAYAT,MARAT,RAHAT,HAYAT,4
HAYAT,BARAT,RAHAT,HAYAT,HAMAT,HAYAT,HAYAT,5
SORUN,ALMAÇ,ALMAÇ,ALMAÇ,ALMAÇ,ALMAÇ,ALMAÇ,1
SORUN,KEREK,ERKEK,DEŞİK,KEREK,HEREK,SERİK,1
SORUN,SİRUR,SÜRUR,HUSUS,SİRUN,SORUN,SORUŞ,2
SORUN,SORUŞ,SORUŞ,SÜBUT,SORUN,SORUN,SORUN,3
SORUN,SORUN,SORUN,SORUN,SORUN,SORUN,SORUN,4
SORUN,SORUN,SORUN,SORUN,SORUN,SORUN,SORUN,5
HATTA,HORST,HORST,HORST,HORST,HORST,HORST,1
HATTA,HATAA,HATTA,HATİM,HATAA,HATTA,HİTAM,1
HATTA,HATTA,HATTA,HATIL,HATTA,HATTA,HATIL,2
HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,3
HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,4
HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,HATTA,5
ANLAM,CİNAİ,CİNAİ,CİNAİ,CİNAİ,CİNAİ,CİNAİ,1
ANLAM,AAMAN,AKMAN,KAĞAN,AAMAN,ALMAN,KAMAN,1
ANLAM,ANDAM,ANLAM,ANDAÇ,ANLAM,ANLAM,ANLAM,2
ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,3
ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,4
ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,ANLAM,5
DÖNEM,AKLIK,AKLIK,AKLIK,AKLIK,AKLIK,AKLIK,1
DÖNEM,SERİE,ESİRE,TOTEM,SERİE,SERİŞ,SERİN,1
DÖNEM,GENEN,GÖNEN,GİZEM,GÜNEE,GÜNCE,DÖNME,2
DÖNEM,DÖNEM,DÖNEM,EPSEM,DÖNET,DÖNEM,DÖNEM,3
DÖNEM,DÖNEM,DÖNEM,DÖŞEM,DÖNEM,DÖNEM,DÖNEM,4
DÖNEM,DÖNEM,DÖNEM,DÖNEM,DÖNEM,DÖNEM,DÖNEM,5
HANGİ,ŞIRAK,ŞIRAK,ŞIRAK,ŞIRAK,ŞIRAK,ŞIRAK,1
HANGİ,AALİA,TALİL,VALLA,AALİA,TALİL,MATLA,1
HANGİ,HAİDİ,HASBİ,GAUSS,HAİDİ,HAYDİ,HABİS,2
HANGİ,HANDİ,HAYDİ,HANGİ,HASDİ,HAMSİ,HANGİ,3
HANGİ,HANDİ,HANGİ,HANGİ,HANDİ,HANGİ,HANGİ,4
HANGİ,HANGİ,HANGİ,HANGİ,HANGİ,HANGİ,HANGİ,5
SONUÇ,TANGO,TANGO,TANGO,TANGO,TANGO,TANGO,1
SONUÇ,KONUK,KONUK,PONJE,KONUK,KONUK,DONUK,1
SONUÇ,SONUM,SONUÇ,KONUŞ,SONUM,SONUÇ,SONUÇ,2
SONUÇ,SONUŞ,SONUÇ,SONUÇ,SONUŞ,SONUÇ,SONUÇ,3
SONUÇ,SONUŞ,SONUÇ,SONUÇ,SONUŞ,SONUÇ,SONUÇ,4
SONUÇ,SONUÇ,SONUÇ,SONUÇ,SONUÇ,SONUÇ,SONUÇ,5
KABUL,ACEMİ,ACEMİ,ACEMİ,ACEMİ,ACEMİ,ACEMİ,1
KABUL,KARAA,ŞALAK,SASON,KARAA,KARAF,TARAK,1
KABUL,KAKLI,KASLI,TARTI,KALII,KALIÇ,KALIN,2
KABUL,KAVUL,KABUL,GAZAL,KAVUL,KABUL,KABLO,3
